,org_correction
Chin National Front (CNF),64
State Level Joint Ceasefire Monitoring Committee (JMC-S),57
Joint Monitoring Committee (JMC),39
Union Level Joint Ceasefire Monitoring Committee (JMC-U),39
Union Peace Dialogue Joint Committee (UPDJC),33
Shan State Progress Party (SSPP)/Shan State Army (SSA),32
Local Level Joint Ceasefire Monitoring Committee (JMC-L),30
Karen National Union (KNU)/Karen National Liberation Army (KNLA),28
Ethnic Armed Organizations (EAO),28
Government of the Republic of the Union of Myanmar,22
Joint Ceasefire Monitoring Committee (JCMC),22
Tatmadaw,20
Pa-O National Liberation Organisation (PNLO),12
Hluttaw,11
Karenni National Progressive Party (KNPP),6
United Nations Office on Drugs and Crime (UNODC),6
National Socialist Council of Nagaland (NSCN),6
Rakhine State Liberation Party (RSLP),6
Union Peacemaking Working Committee (UPWC),5
New Mon State Party (NMSP),5
Union Election Commission (UEC),4
Kachin Independence Organisation (KIO),3
Arakan Army,2
United Nationalities Alliance (UNA),1
National League Democracy (NLD),1
United Nationalities Federal Council (UNFC),1
United Nations,1
Food and Drug Administration (FDA),1
Lahu Democratic Union,1
