agreement_id,per_correction,Mentions per agreement
771,U Aung Min,2
771,Dr. Sui Khar,1
771,Pu Zing Cung,1
771,U Hung Ngai,1
771,U Thein Sein,1
771,U Win Htun,1
776,Htein Lin,1
1321,General Aung San,1
1500,Khu Oo Re,1
1544,Col. Hsaung Han,1
1544,Col. Saw Kyaw Than Htay,1
1544,Dr. Min Zaw Oo,1
1544,Dr. Shwe Kah,1
1544,Lt. Col Khine Myo Chit,1
1544,Lt. Col. Khun Aung Mang,1
1544,Lt. Gen. Ya Pyit,1
1544,Lt. Gen. Ye Aung,1
1544,Maj. Gen. Aung Kyaw Zaw,1
1544,Maj. Gen. Min Naung,1
1544,Maj. Gen. Saw Isaac Poe,1
1544,Maj. Gen. Saw Nay Soe Mya,1
1544,Maj. Gen. Tun Tun Naung,1
1544,Padoh Saw Ta Doh Moo,1
1544,Sai Liang,1
1544,Salai Yaw Aung,1
1544,U Khin Maung Soe,1
1544,U Myint Soe,1
1550,Khu Oo Reh,1
1550,U Aung Min,1
1552,Col. Aung Lwin,1
1552,Maj. Gen Saw Lar Pwe,1
1552,U Saw Mu Shay,1
1553,U Aung Min,1
1555,U Aung Thaung,1
1555,U Thein Zaw,1
1555,U Win Tun,1
1557,U Aung Min,2
1557,U Ohn Myint,2
1557,U Win Tun,2
1562,General Sao Khay Tai,3
1562,U Aung Thaung,3
1562,Col Aung Thu.,2
1562,Maj-Gen Mya Tun Oo,2
1562,Sao Htin Mein,2
1562,Sao Khay Maung,2
1562,Sao Khun Hsai,2
1562,U Thein Zaw,2
1562,Lt-Col Zaw Naing Oo,1
1562,Maj-Gen Aung Kyaw Zaw,1
1562,Maj-Gen Zaw Win,1
1562,Sao Hsay Pein Pha,1
1562,Sao Khin Min,1
1562,Sao Kyaw Hla,1
1562,Sao Laung Khay,1
1562,U Maung Maung Thein,1
1562,U Ohn Myint,1
1562,U Sao Aung Myat,1
1562,U Soe Tint,1
1562,U Tun Tun Oo,1
1562,U Win Tun,1
1563,U Aung Thaung,1
1564,General Secretary Naw Zipporah Sein,1
1564,U Aung Min,1
1578,U Aung Thaung,1
1578,U Saw Lah Pwe,1
1580,U Aung Min,1
1580,U Khin Mg Soe,1
1580,U Khun Myint Htun,1
1580,U Khun Okkar,1
1841,Col. Saw Kyaw Dah,1
1841,Gen. Saw Mo Shay,1
1841,Hpon Da Shwin,1
1841,Khaing Thuka,1
1841,Koon Abel Tweed,1
1841,Kya Khunsa,1
1841,Pu Zin Cun,1
1841,Saw Mutu Say Po,1
1841,U Tun Mrat Naing,1
1841,U Twan Zaw,1
2369,Daw Khin Ma Ma Myo,1
2369,Dr. May Win Myint,1
2369,Dr. Tin Myo Win,1
2369,Kya Sha Mwe,1
2369,Lian Hmung Sakhong,1
2369,Lt-Gen Tin Maug Win,1
2369,Nang Aye Aye Thwe,1
2369,U Htone Phoo Dagon,1
2369,U Kyaw Win,1
2369,U Thu Wai,1
2369,U Zein Khan Ram,1
