,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Government of the Republic of the Union of Myanmar, Htein Lin, U Win Htun, Union Myanmar U Thein Sein, Kyaw Win  Relevant Representative, Win Myint  Representative, Tin Myo Win  Representative, Aung San, Gen. Ya Pyit, U Khin Maung Soe  Union, Gen. Ye Aung  Chief, Tun Tun Naung, Aung Kyaw Zaw, U Myint Soe  Retired Lt, Aung Soe, Ministry Interior, Min Zaw, U Aung Min, Gen Saw Lar Pwe, U Aung Thaung, U Thein Zaw, U Ohn Myint, U Win Tun, U Maung Maung Thein, North - East Command Maj - Gen Aung Kyaw Zaw, Central East Command, Maj - Gen Zaw Win
KNU, Saw Kyaw Dah, Gen. Saw Isaac Poe  Quartermaster General, Gen. Saw Nay Soe Mya  Adjutant General, Naw Zipporah Sein,,,,,,,,,,,,,,,,,,,,,,
CNF, Shwe Kah, Pu Zin Cun Commander, Pu Zing Cung, Sui Khar,,,,,,,,,,,,,,,,,,,,,,
DKBA, Saw Mo Shay,,,,,,,,,,,,,,,,,,,,,,,,,
PNLO, Khun Aung Mang  PNLO, Khun Okkar,,,,,,,,,,,,,,,,,,,,,,,,
ABSDF, Salai Yaw Aung  ABSDF,,,,,,,,,,,,,,,,,,,,,,,,,
RCSS, Hsaung Han, Sai Liang ,,,,,,,,,,,,,,,,,,,,,,,,
KNPP, KNPP Khu Oo Reh, Koon Abel Tweed,,,,,,,,,,,,,,,,,,,,,,,,
DKBA-5, Kalo Htoo Baw, Kaloh Htoo Baw, Kalo Htoo Baw U Saw Mu Shay, U Saw Lah Pwe,,,,,,,,,,,,,,,,,,,,,,
Karen State Government, Aung Lwin,,,,,,,,,,,,,,,,,,,,,,,,,
Shan State Government, U Sao Aung Myat, Aung Thu,,,,,,,,,,,,,,,,,,,,,,,,
Chin State Government, U Hung Ngai,,,,,,,,,,,,,,,,,,,,,,,,,
SSPP/SSA, Sao Khay Tai, Sao Khin Min, Sao Khun Hsai, Sao Khay Maung, Sao Kyaw Hla, Sao Htin Mein, Sao Laung Khay,  Sao Naw Leik,,,,,,,,,,,,,,,,,,
UPWC, Khin Mg Soe,,,,,,,,,,,,,,,,,,,,,,,,,
Arakan National Council, U Twan Zaw,,,,,,,,,,,,,,,,,,,,,,,,,
Arakan Army, U Tun Mrat Naing,,,,,,,,,,,,,,,,,,,,,,,,,
Lahu Democratic Union, Kya Khunsa,,,,,,,,,,,,,,,,,,,,,,,,,
Political Parties Group, U Thu Wai  Representative, Ethnic Armed Organization Group  U Zein Khan Ram  Ethnic Representative Political Parties Group,,,,,,,,,,,,,,,,,,,,,,,,
