,entity_named,relation_type,entity_affiliated_org
35,General Aung San,affiliated with,Government of the Republic of the Union of Myanmar
418,Lt. Gen. Ya Pyit,affiliated with,Government of the Republic of the Union of Myanmar
419,U Khin Maung Soe,affiliated with,Government of the Republic of the Union of Myanmar
420,Lt. Gen. Ye Aung,affiliated with,Government of the Republic of the Union of Myanmar
421,Maj. Gen. Tun Tun Naung,affiliated with,Government of the Republic of the Union of Myanmar
422,Maj. Gen. Aung Kyaw Zaw,affiliated with,Government of the Republic of the Union of Myanmar
424,U Myint Soe,affiliated with,Government of the Republic of the Union of Myanmar
425,Maj. Gen. Aung Soe,affiliated with,Government of the Republic of the Union of Myanmar
428,Dr. Min Zaw Oo,affiliated with,Government of the Republic of the Union of Myanmar
430,Maj. Gen. Saw Isaac Poe,affiliated with,Karen National Union (KNU)/Karen National Liberation Army (KNLA)
433,Maj. Gen. Saw Nay Soe Mya,affiliated with,Karen National Union (KNU)/Karen National Liberation Army (KNLA)
435,Dr. Shwe Kah,affiliated with,Chin National Front (CNF)
437,Col. Saw Kyaw Than Htay,affiliated with,Democratic Karen Benevolent/Buddhist Army (DKBA)
439,Lt. Col. Khun Aung Mang,affiliated with,Pa-O National Liberation Organisation (PNLO)
440,Salai Yaw Aung,affiliated with,All Burma Students Democratic Front (ABSDF)
441,Col. Hsaung Han,affiliated with,Restoration Council of Shan State (RCSS)
442,Sai Liang,affiliated with,Restoration Council of Shan State (RCSS)
689,U Aung Min,affiliated with,Government of the Republic of the Union of Myanmar
821, Kalo Htoo Baw,affiliated with,Kalo Htoo Baw faction of Democratic Karen Benevolent Army (DKBA-5)
823,Col. Aung Lwin,affiliated with,Karen State Government
824,U Saw Mu Shay,affiliated with,Kalo Htoo Baw faction of Democratic Karen Benevolent Army (DKBA-5)
830, Kaloh Htoo Baw,affiliated with,Kalo Htoo Baw faction of Democratic Karen Benevolent Army (DKBA-5)
833,Maj. Gen Saw Lar Pwe,affiliated with,Government of the Republic of the Union of Myanmar
844,U Aung Thaung,affiliated with,Government of the Republic of the Union of Myanmar
845,U Thein Zaw,affiliated with,Government of the Republic of the Union of Myanmar
846,U Win Tun,affiliated with,Government of the Republic of the Union of Myanmar
848, Sai Lin,affiliated with,Special Region (4)
850, U Kham Maung,affiliated with,Special Region (4)
871, U Soe Thein,affiliated with,Government of the Republic of the Union of Myanmar
873, U Zaw Min,affiliated with,Government of the Republic of the Union of Myanmar
877,U Ohn Myint,affiliated with,Government of the Republic of the Union of Myanmar
878,Maj - Gen Tin Maung Win,affiliated with,Tatmadaw
880, Col Htay Myint Aung,affiliated with,Tatmadaw
886, U Nai Rawsa,affiliated with,New Mon State Party (NMSP)
891, U Nai Talanyi,affiliated with,New Mon State Party (NMSP)
910,Y Wantin Naga,affiliated with,National Socialist Council of Nagaland (NSCN)
970,U Sao Aung Myat,affiliated with,Shan State Government
972,U Maung Maung Thein,affiliated with,Government of the Republic of the Union of Myanmar
974,Maj-Gen Mya Tun Oo,affiliated with,Government of the Republic of the Union of Myanmar
975,Maj-Gen Zaw Win,affiliated with,Government of the Republic of the Union of Myanmar
977,Col Aung Thu.,affiliated with,Shan State Government
981,General Sao Khay Tai,affiliated with,Shan State Progress Party (SSPP)/Shan State Army (SSA)
982,Sao Khin Min,affiliated with,Shan State Progress Party (SSPP)/Shan State Army (SSA)
983,Sao Khun Hsai,affiliated with,Shan State Progress Party (SSPP)/Shan State Army (SSA)
984,Sao Khay Maung,affiliated with,Shan State Progress Party (SSPP)/Shan State Army (SSA)
985,Sao Kyaw Hla,affiliated with,Shan State Progress Party (SSPP)/Shan State Army (SSA)
986,Sao Htin Mein,affiliated with,Shan State Progress Party (SSPP)/Shan State Army (SSA)
987,Sao Laung Khay,affiliated with,Shan State Progress Party (SSPP)/Shan State Army (SSA)
988, Sao Naw Leik,affiliated with,Shan State Progress Party (SSPP)/Shan State Army (SSA)
989,Shan State Progress Party (SSPP)/Shan State Army (SSA),affiliated with,Shan State Government
1000, Sao Kyaw,affiliated with,Shan State Progress Party (SSPP)/Shan State Army (SSA)
1028, U Shauk Min Lyan,affiliated with,Wa Special Region (2) Peacemaking Group
1042,General Secretary Naw Zipporah Sein,affiliated with,Karen National Union (KNU)/Karen National Liberation Army (KNLA)
1052,U Saw Lah Pwe,affiliated with,Kalo Htoo Baw faction of Democratic Karen Benevolent Army (DKBA-5)
1096,U Khun Okkar,affiliated with,Pa-O National Liberation Organisation (PNLO)
1098,U Khin Mg Soe,affiliated with,Union Peacemaking Working Committee (UPWC)
1170,U Twan Zaw,affiliated with,Arakan National Council
1172,U Tun Mrat Naing,affiliated with,Arakan Army
1173,Pu Zin Cun,affiliated with,Chin National Front (CNF)
1175,Gen. Saw Mo Shay,affiliated with,Democratic Karen Benevolent/Buddhist Army (DKBA)
1176,Koon Abel Tweed,affiliated with,Karenni National Progressive Party (KNPP)
1178,Col. Saw Kyaw Dah,affiliated with,Karen National Union (KNU)/Karen National Liberation Army (KNLA)
1181,Kya Khunsa,affiliated with,Lahu Democratic Union
1193,Dr. Tin Myo Win,affiliated with,Government of the Republic of the Union of Myanmar
1195,Dr. May Win Myint,affiliated with,Government of the Republic of the Union of Myanmar
1198, Lian Hmung Sakhong,affiliated with,Chin National Front (CNF)
1200,U Thu Wai,affiliated with,Political Parties Group
1202,U Kyaw Win,affiliated with,Government of the Republic of the Union of Myanmar
1204,Ethnic Armed Organizations (EAO),affiliated with,Political Parties Group
1268,U Thein Sein,affiliated with,Government of the Republic of the Union of Myanmar
1269,Pu Zing Cung,affiliated with,Chin National Front (CNF)
1272,Dr. Sui Khar,affiliated with,Chin National Front (CNF)
1329,U Win Htun,affiliated with,Government of the Republic of the Union of Myanmar
1330,U Hung Ngai,affiliated with,Chin State Government
1372, Rakhine State Peace Discussion Group,affiliated with,Rakhine State Liberation Party (RSLP)
1374,Htein Lin,affiliated with,Government of the Republic of the Union of Myanmar
0,Maj. Gen. Min Naung,affiliated with,Government of the Republic of the Union of Myanmar
1,Lt. Col Khine Myo Chit,affiliated with,Arakan Liberation Party
2,Padoh Saw Ta Doh Moo,affiliated with,Karen National Union (KNU)/Karen National Liberation Army (KNLA)
3,Khu Oo Re,affiliated with,Karenni National Progressive Party (KNPP)
4,U Tun Tun Oo,affiliated with,Government of the Republic of the Union of Myanmar
5,Lt-Col Zaw Naing Oo,affiliated with,Government of the Republic of the Union of Myanmar
6,Sao Hsay Pein Pha,affiliated with,SSPP/SSA
7,U Aung Min,affiliated with,Union Peacemaking Working Committee (UPWC)
8,Khaing Thuka,affiliated with,Arakan Liberation Party
9,Saw Mutu Say Po,affiliated with,Karen National Union (KNU)/Karen National Liberation Army (KNLA)
10,Hpon Da Shwin,affiliated with,Myanmar National Democratic Alliance Army
11,Lt-Gen Tin Maug Win,affiliated with,Tatmadaw
12,Lian Hmung Sakhong,affiliated with,Chin National Front (CNF)
13,U Htone Phoo Dagon,affiliated with,Kachin National Association of Tradition and Culture
14,Kya Sha Mwe,affiliated with,Ethnic Representative Ethnic Armed Organization Group
15,Daw Khin Ma Ma Myo,affiliated with,Relevant Representative of Ethnic Armed Organization Group 
16,U Zein Khan Ram,affiliated with,Ethnic Representative Political Parties Group
17,Nang Aye Aye Thwe,affiliated with,Relevant Representative of the Political Parties Group 
